target	compound	pchembl_value	
CHEMBL4070	CHEMBL941	5.420	
CHEMBL4014	CHEMBL941	7.241	
CHEMBL3969	CHEMBL941	4.770	
CHEMBL3959	CHEMBL941	7.132	
CHEMBL3905	CHEMBL941	6.660	
CHEMBL3886	CHEMBL941	5.580	
CHEMBL3788	CHEMBL941	5.080	
CHEMBL3729	CHEMBL941	5.340	
CHEMBL3594	CHEMBL941	7.120	
CHEMBL3510	CHEMBL941	6.330	
CHEMBL3242	CHEMBL941	6.010	
CHEMBL2885	CHEMBL941	6.280	
CHEMBL279	CHEMBL941	4.570	
CHEMBL267	CHEMBL941	4.482	
CHEMBL2637	CHEMBL941	5.495	
CHEMBL261	CHEMBL941	7.500	
CHEMBL260	CHEMBL941	4.750	
CHEMBL2599	CHEMBL941	5.300	
CHEMBL258	CHEMBL941	7.337	
CHEMBL2326	CHEMBL941	6.960	
CHEMBL2276	CHEMBL941	5.400	
CHEMBL2250	CHEMBL941	6.280	
CHEMBL2073673	CHEMBL941	4.590	
CHEMBL205	CHEMBL941	7.520	
CHEMBL203	CHEMBL941	7.540	
CHEMBL2007	CHEMBL941	7.404	
CHEMBL1974	CHEMBL941	6.880	
CHEMBL1936	CHEMBL941	6.719	
CHEMBL1913	CHEMBL941	7.190	
CHEMBL1906	CHEMBL941	5.770	
CHEMBL1862	CHEMBL941	6.906	
CHEMBL1844	CHEMBL941	6.907	
CHEMBL1841	CHEMBL941	5.385	
CHEMBL1835	CHEMBL941	6.700	
CHEMBL1824	CHEMBL941	10.220	
CHEMBL1770034	CHEMBL941	5.360	
CHEMBL1743127	CHEMBL941	6.000	
CHEMBL1743126	CHEMBL941	7.053	
CHEMBL1743122	CHEMBL941	5.380	
CHEMBL1919	CHEMBL940	7.570	
CHEMBL220	CHEMBL94	6.957	
CHEMBL1914	CHEMBL94	6.788	
CHEMBL5810	CHEMBL939	5.400	
CHEMBL5759	CHEMBL939	5.510	
CHEMBL5699	CHEMBL939	5.680	
CHEMBL5579	CHEMBL939	5.890	
CHEMBL5533	CHEMBL939	7.260	
CHEMBL5407	CHEMBL939	5.240	
CHEMBL5393	CHEMBL939	6.107	
CHEMBL5320	CHEMBL939	5.160	
CHEMBL5145	CHEMBL939	5.700	
CHEMBL5121	CHEMBL939	5.800	
CHEMBL5081	CHEMBL939	5.820	
CHEMBL5072	CHEMBL939	5.140	
CHEMBL5014	CHEMBL939	6.140	
CHEMBL4937	CHEMBL939	6.035	
CHEMBL4822	CHEMBL939	4.700	
CHEMBL4718	CHEMBL939	6.540	
CHEMBL4601	CHEMBL939	6.010	
CHEMBL4599	CHEMBL939	5.640	
CHEMBL4526	CHEMBL939	6.040	
CHEMBL4525	CHEMBL939	5.620	
CHEMBL4367	CHEMBL939	5.220	
CHEMBL4355	CHEMBL939	7.543	
CHEMBL4302	CHEMBL939	4.700	
CHEMBL4223	CHEMBL939	5.700	
CHEMBL4204	CHEMBL939	6.180	
CHEMBL4202	CHEMBL939	6.000	
CHEMBL4179	CHEMBL939	5.850	
CHEMBL4134	CHEMBL939	5.750	
CHEMBL4105816	CHEMBL939	4.470	
CHEMBL4004	CHEMBL939	5.430	
CHEMBL3981	CHEMBL939	5.890	
CHEMBL3980	CHEMBL939	5.305	
CHEMBL3905	CHEMBL939	6.000	
CHEMBL3879831	CHEMBL939	5.170	
CHEMBL3717	CHEMBL939	5.360	
CHEMBL3234	CHEMBL939	5.360	
CHEMBL3009	CHEMBL939	6.320	
CHEMBL279	CHEMBL939	5.657	
CHEMBL2777	CHEMBL939	5.720	
CHEMBL267	CHEMBL939	5.360	
CHEMBL2637	CHEMBL939	5.570	
CHEMBL258	CHEMBL939	6.080	
CHEMBL2468	CHEMBL939	5.240	
CHEMBL2349	CHEMBL939	5.190	
CHEMBL2250	CHEMBL939	5.920	
CHEMBL203	CHEMBL939	7.541	
CHEMBL1974	CHEMBL939	5.827	
CHEMBL1936	CHEMBL939	5.370	
CHEMBL1824	CHEMBL939	6.234	
CHEMBL1795199	CHEMBL939	5.570	
CHEMBL1293224	CHEMBL939	4.600	
CHEMBL227	CHEMBL938	9.251	
CHEMBL3194	CHEMBL93645	5.920	
CHEMBL340	CHEMBL934	5.520	
CHEMBL2722	CHEMBL934	7.118	
CHEMBL1908	CHEMBL934	7.783	
CHEMBL1075138	CHEMBL934	4.650	
CHEMBL1075138	CHEMBL93268	5.300	
CHEMBL3426	CHEMBL93240	8.500	
CHEMBL3371	CHEMBL93240	8.984	
CHEMBL3155	CHEMBL93240	8.847	
CHEMBL224	CHEMBL93240	8.700	
CHEMBL214	CHEMBL93240	7.815	
CHEMBL1293224	CHEMBL93240	4.550	
CHEMBL2309	CHEMBL9324	4.520	
CHEMBL5393	CHEMBL932	5.190	
CHEMBL4409	CHEMBL932	6.000	
CHEMBL2717	CHEMBL932	6.400	
CHEMBL2079850	CHEMBL932	6.110	
CHEMBL1997	CHEMBL932	7.663	
CHEMBL1827	CHEMBL932	5.550	
CHEMBL1293224	CHEMBL932	5.200	
CHEMBL1075138	CHEMBL932	5.100	
CHEMBL2487	CHEMBL93124	8.166	
CHEMBL1743291	CHEMBL93124	8.290	
CHEMBL1293224	CHEMBL93124	5.490	
CHEMBL5658	CHEMBL93	6.220	
CHEMBL4550	CHEMBL93	5.760	
CHEMBL3911	CHEMBL93	6.380	
CHEMBL2903	CHEMBL93	5.605	
CHEMBL2409	CHEMBL93	6.230	
CHEMBL215	CHEMBL93	5.946	
CHEMBL2722	CHEMBL9298	8.768	
CHEMBL1978	CHEMBL9298	7.746	
CHEMBL1908	CHEMBL9298	8.055	
CHEMBL240	CHEMBL92870	7.800	
CHEMBL1997	CHEMBL92870	5.925	
CHEMBL1293224	CHEMBL928	5.000	
CHEMBL5685	CHEMBL926	5.380	
CHEMBL4789	CHEMBL926	6.140	
CHEMBL3969	CHEMBL926	6.050	
CHEMBL3912	CHEMBL926	5.020	
CHEMBL3729	CHEMBL926	5.050	
CHEMBL3594	CHEMBL926	5.010	
CHEMBL3510	CHEMBL926	4.920	
CHEMBL3242	CHEMBL926	5.360	
CHEMBL2885	CHEMBL926	5.130	
CHEMBL261	CHEMBL926	5.720	
CHEMBL2326	CHEMBL926	5.370	
CHEMBL205	CHEMBL926	6.320	
CHEMBL4459	CHEMBL925	4.170	
CHEMBL2039	CHEMBL92401	5.269	
CHEMBL1951	CHEMBL92401	5.267	
CHEMBL4105758	CHEMBL923	7.100	
CHEMBL1782	CHEMBL923	7.830	
CHEMBL1293266	CHEMBL92	5.300	
CHEMBL252	CHEMBL9194	10.365	
CHEMBL6167	CHEMBL91829	5.580	
CHEMBL6005	CHEMBL91829	5.510	
CHEMBL5975	CHEMBL91829	6.090	
CHEMBL5969	CHEMBL91829	6.160	
CHEMBL5907	CHEMBL91829	6.190	
CHEMBL5784	CHEMBL91829	5.750	
CHEMBL5749	CHEMBL91829	5.580	
CHEMBL5698	CHEMBL91829	6.500	
CHEMBL5667	CHEMBL91829	6.080	
CHEMBL5659	CHEMBL91829	6.195	
CHEMBL5579	CHEMBL91829	5.850	
CHEMBL5543	CHEMBL91829	5.270	
CHEMBL5432	CHEMBL91829	5.080	
CHEMBL5427	CHEMBL91829	7.000	
CHEMBL5407	CHEMBL91829	7.920	
CHEMBL5320	CHEMBL91829	6.550	
CHEMBL5284	CHEMBL91829	5.790	
CHEMBL5256	CHEMBL91829	5.560	
CHEMBL5198	CHEMBL91829	7.060	
CHEMBL5073	CHEMBL91829	5.580	
CHEMBL4924	CHEMBL91829	6.100	
CHEMBL4900	CHEMBL91829	6.050	
CHEMBL4852	CHEMBL91829	5.080	
CHEMBL4708	CHEMBL91829	6.020	
CHEMBL4630	CHEMBL91829	6.270	
CHEMBL4598	CHEMBL91829	6.660	
CHEMBL4597	CHEMBL91829	5.100	
CHEMBL4577	CHEMBL91829	7.000	
CHEMBL4576	CHEMBL91829	7.000	
CHEMBL4527	CHEMBL91829	5.240	
CHEMBL4523	CHEMBL91829	6.330	
CHEMBL4522	CHEMBL91829	5.877	
CHEMBL4355	CHEMBL91829	5.925	
CHEMBL4237	CHEMBL91829	5.795	
CHEMBL4225	CHEMBL91829	6.380	
CHEMBL4224	CHEMBL91829	6.040	
CHEMBL4203	CHEMBL91829	5.400	
CHEMBL4202	CHEMBL91829	6.023	
CHEMBL4147	CHEMBL91829	5.185	
CHEMBL4105933	CHEMBL91829	5.880	
CHEMBL4101	CHEMBL91829	5.270	
CHEMBL4070	CHEMBL91829	5.470	
CHEMBL4004	CHEMBL91829	5.500	
CHEMBL3981	CHEMBL91829	6.020	
CHEMBL3935	CHEMBL91829	5.520	
CHEMBL3920	CHEMBL91829	8.600	
CHEMBL3906	CHEMBL91829	6.185	
CHEMBL3831	CHEMBL91829	5.640	
CHEMBL3830	CHEMBL91829	5.967	
CHEMBL3829	CHEMBL91829	5.110	
CHEMBL3788	CHEMBL91829	5.880	
CHEMBL3650	CHEMBL91829	5.290	
CHEMBL3629	CHEMBL91829	5.440	
CHEMBL3616	CHEMBL91829	6.515	
CHEMBL3582	CHEMBL91829	6.800	
CHEMBL3234	CHEMBL91829	5.550	
CHEMBL3125	CHEMBL91829	5.210	
CHEMBL3123	CHEMBL91829	5.580	
CHEMBL3045	CHEMBL91829	8.116	
CHEMBL3032	CHEMBL91829	5.820	
CHEMBL2996	CHEMBL91829	7.403	
CHEMBL299	CHEMBL91829	6.680	
CHEMBL2938	CHEMBL91829	6.520	
CHEMBL2918	CHEMBL91829	5.500	
CHEMBL2897	CHEMBL91829	6.030	
CHEMBL2896	CHEMBL91829	5.510	
CHEMBL2872	CHEMBL91829	5.850	
CHEMBL2850	CHEMBL91829	5.140	
CHEMBL262	CHEMBL91829	5.440	
CHEMBL258	CHEMBL91829	5.890	
CHEMBL2558	CHEMBL91829	6.010	
CHEMBL2553	CHEMBL91829	5.520	
CHEMBL2534	CHEMBL91829	6.140	
CHEMBL2468	CHEMBL91829	5.890	
CHEMBL2428	CHEMBL91829	6.540	
CHEMBL2345	CHEMBL91829	5.173	
CHEMBL2292	CHEMBL91829	5.960	
CHEMBL2148	CHEMBL91829	6.380	
CHEMBL2147	CHEMBL91829	6.487	
CHEMBL1974	CHEMBL91829	6.403	
CHEMBL1936	CHEMBL91829	6.167	
CHEMBL1913	CHEMBL91829	5.160	
CHEMBL1075167	CHEMBL91829	7.000	
CHEMBL3837	CHEMBL91704	8.090	
CHEMBL240	CHEMBL914	4.580	
CHEMBL231	CHEMBL914	7.402	
CHEMBL250	CHEMBL91397	5.430	
CHEMBL231	CHEMBL91397	8.405	
CHEMBL3026	CHEMBL911	6.400	
CHEMBL1962	CHEMBL911	7.700	
CHEMBL4685	CHEMBL91	5.495	
CHEMBL4523494	CHEMBL91	5.820	
CHEMBL3849	CHEMBL91	6.700	
CHEMBL3522	CHEMBL91	6.610	
CHEMBL340	CHEMBL91	5.300	
CHEMBL1978	CHEMBL91	6.220	
CHEMBL1835	CHEMBL91	6.580	
CHEMBL5685	CHEMBL908	4.110	
CHEMBL5393	CHEMBL908	4.380	
CHEMBL234	CHEMBL908	8.340	
CHEMBL231	CHEMBL908	8.430	
CHEMBL217	CHEMBL908	8.530	
CHEMBL2056	CHEMBL908	7.750	
CHEMBL1850	CHEMBL908	8.050	
CHEMBL1075138	CHEMBL908	4.150	
CHEMBL5347	CHEMBL90593	4.943	
CHEMBL3305	CHEMBL90593	7.840	
CHEMBL2728	CHEMBL90593	4.110	
CHEMBL214	CHEMBL905	6.530	
CHEMBL3911	CHEMBL90214	6.460	
CHEMBL4789	CHEMBL902	5.840	
CHEMBL3969	CHEMBL902	5.270	
CHEMBL3912	CHEMBL902	6.770	
CHEMBL3729	CHEMBL902	6.030	
CHEMBL3594	CHEMBL902	6.900	
CHEMBL3510	CHEMBL902	6.170	
CHEMBL3242	CHEMBL902	7.340	
CHEMBL261	CHEMBL902	6.040	
CHEMBL2326	CHEMBL902	8.520	
CHEMBL2073673	CHEMBL902	4.970	
CHEMBL205	CHEMBL902	7.240	
CHEMBL1743127	CHEMBL902	4.440	
CHEMBL1743126	CHEMBL902	6.120	
CHEMBL1743122	CHEMBL902	4.440	
CHEMBL5685	CHEMBL900	4.900	
CHEMBL240	CHEMBL900	6.070	
CHEMBL3759	CHEMBL90	7.927	
CHEMBL264	CHEMBL90	7.717	
CHEMBL231	CHEMBL90	5.812	
CHEMBL2085	CHEMBL90	4.170	
CHEMBL1941	CHEMBL90	6.170	
CHEMBL1163125	CHEMBL9	6.010	
CHEMBL4105941	CHEMBL898	5.230	
CHEMBL3194	CHEMBL898	5.589	
CHEMBL261	CHEMBL898	5.270	
CHEMBL205	CHEMBL898	5.300	
CHEMBL202	CHEMBL898	4.470	
CHEMBL6120	CHEMBL897	4.393	
CHEMBL3594	CHEMBL897	6.440	
CHEMBL3242	CHEMBL897	5.910	
CHEMBL2073677	CHEMBL897	4.260	
CHEMBL205	CHEMBL897	6.370	
CHEMBL1743317	CHEMBL897	4.020	
CHEMBL1641348	CHEMBL897	5.050	
CHEMBL1641347	CHEMBL897	4.920	
CHEMBL231	CHEMBL896	8.700	
CHEMBL224	CHEMBL896	7.300	
CHEMBL217	CHEMBL896	6.420	
CHEMBL236	CHEMBL895	6.453	
CHEMBL233	CHEMBL895	7.953	
CHEMBL234	CHEMBL8946	9.933	
CHEMBL219	CHEMBL8946	7.150	
CHEMBL217	CHEMBL8946	9.863	
CHEMBL2492	CHEMBL894	4.700	
CHEMBL238	CHEMBL894	6.093	
CHEMBL222	CHEMBL894	5.646	
CHEMBL6020	CHEMBL893	4.160	
CHEMBL215	CHEMBL88712	5.800	
CHEMBL1865	CHEMBL88712	6.180	
CHEMBL3371	CHEMBL887	8.850	
CHEMBL220	CHEMBL887	7.720	
CHEMBL2039	CHEMBL887	7.384	
CHEMBL1951	CHEMBL887	5.661	
CHEMBL1914	CHEMBL887	5.320	
CHEMBL215	CHEMBL8846	4.700	
CHEMBL234	CHEMBL8809	7.870	
CHEMBL219	CHEMBL8809	5.510	
CHEMBL217	CHEMBL8809	8.440	
CHEMBL2326	CHEMBL878	8.680	
CHEMBL1075138	CHEMBL87708	4.350	
CHEMBL1801	CHEMBL877	5.244	
CHEMBL5137	CHEMBL8759	7.293	
CHEMBL4573	CHEMBL8759	5.470	
CHEMBL2888	CHEMBL8759	7.146	
CHEMBL2821	CHEMBL87563	5.540	
CHEMBL2079849	CHEMBL87563	6.420	
CHEMBL204	CHEMBL87563	6.160	
CHEMBL2000	CHEMBL87563	5.870	
CHEMBL1801	CHEMBL87563	5.765	
CHEMBL1743127	CHEMBL87563	4.970	
CHEMBL1743126	CHEMBL87563	6.300	
CHEMBL1743122	CHEMBL87563	6.050	
CHEMBL321	CHEMBL87223	4.000	
CHEMBL2039	CHEMBL8706	4.721	
CHEMBL1951	CHEMBL8706	8.022	
CHEMBL1782	CHEMBL870	6.607	
CHEMBL4523350	CHEMBL869	4.050	
CHEMBL1075138	CHEMBL86754	5.150	
CHEMBL2002	CHEMBL866	7.760	
CHEMBL1822	CHEMBL866	7.407	
CHEMBL5002	CHEMBL8659	4.300	
CHEMBL3979	CHEMBL8659	5.280	
CHEMBL335	CHEMBL8659	5.210	
CHEMBL2916	CHEMBL8659	5.070	
CHEMBL239	CHEMBL8659	5.627	
CHEMBL235	CHEMBL8659	5.390	
CHEMBL2163182	CHEMBL8659	4.050	
CHEMBL2083	CHEMBL8659	5.200	
CHEMBL1978	CHEMBL8659	4.490	
CHEMBL1293224	CHEMBL8659	4.550	
CHEMBL6174	CHEMBL865	5.960	
CHEMBL4789	CHEMBL865	6.040	
CHEMBL3969	CHEMBL865	7.060	
CHEMBL3912	CHEMBL865	6.370	
CHEMBL3729	CHEMBL865	6.070	
CHEMBL3594	CHEMBL865	7.141	
CHEMBL3510	CHEMBL865	6.970	
CHEMBL3242	CHEMBL865	7.890	
CHEMBL2885	CHEMBL865	4.110	
CHEMBL261	CHEMBL865	4.270	
CHEMBL2326	CHEMBL865	5.410	
CHEMBL221	CHEMBL865	4.515	
CHEMBL205	CHEMBL865	7.241	
CHEMBL240	CHEMBL86304	4.100	
CHEMBL2039	CHEMBL86304	5.423	
CHEMBL1951	CHEMBL86304	6.739	
CHEMBL1075149	CHEMBL863	4.230	
CHEMBL3923	CHEMBL862	7.720	
CHEMBL5685	CHEMBL86	4.020	
CHEMBL2439	CHEMBL86	6.460	
CHEMBL234	CHEMBL86	7.685	
CHEMBL217	CHEMBL86	7.190	
CHEMBL1929	CHEMBL859	6.730	
CHEMBL2487	CHEMBL858	4.830	
CHEMBL1808	CHEMBL858	4.850	
CHEMBL1293275	CHEMBL858	4.095	
CHEMBL1075138	CHEMBL858	5.900	
CHEMBL1075138	CHEMBL856	5.300	
CHEMBL1075138	CHEMBL852	4.250	
CHEMBL234	CHEMBL8514	9.867	
CHEMBL217	CHEMBL8514	9.684	
CHEMBL2056	CHEMBL8514	8.525	
CHEMBL1075138	CHEMBL85109	4.400	
CHEMBL240	CHEMBL850	4.610	
CHEMBL5845	CHEMBL85	6.500	
CHEMBL3426	CHEMBL85	6.000	
CHEMBL3371	CHEMBL85	5.974	
CHEMBL3155	CHEMBL85	8.692	
CHEMBL264	CHEMBL85	5.960	
CHEMBL240	CHEMBL85	6.454	
CHEMBL234	CHEMBL85	7.803	
CHEMBL232	CHEMBL85	8.000	
CHEMBL231	CHEMBL85	7.302	
CHEMBL229	CHEMBL85	8.297	
CHEMBL228	CHEMBL85	5.925	
CHEMBL225	CHEMBL85	7.741	
CHEMBL224	CHEMBL85	9.374	
CHEMBL219	CHEMBL85	7.690	
CHEMBL217	CHEMBL85	8.381	
CHEMBL216	CHEMBL85	5.550	
CHEMBL214	CHEMBL85	6.463	
CHEMBL2056	CHEMBL85	6.357	
CHEMBL1983	CHEMBL85	6.000	
CHEMBL1942	CHEMBL85	6.000	
CHEMBL1898	CHEMBL85	8.000	
CHEMBL1867	CHEMBL85	7.183	
CHEMBL1850	CHEMBL85	6.000	
CHEMBL1833	CHEMBL85	7.700	
CHEMBL1743126	CHEMBL85	5.800	
CHEMBL1743122	CHEMBL85	4.960	
CHEMBL5586	CHEMBL849	6.810	
CHEMBL1781865	CHEMBL849	4.000	
CHEMBL1163125	CHEMBL848	5.290	
CHEMBL2259	CHEMBL846	7.620	
CHEMBL1977	CHEMBL846	8.854	
CHEMBL1293224	CHEMBL846	4.650	
CHEMBL1293224	CHEMBL84567	4.650	
CHEMBL2246	CHEMBL84446	5.920	
CHEMBL1900	CHEMBL84446	7.918	
CHEMBL232	CHEMBL844	5.270	
CHEMBL229	CHEMBL844	5.550	
CHEMBL223	CHEMBL844	6.030	
CHEMBL1942	CHEMBL844	7.460	
CHEMBL1867	CHEMBL844	8.370	
CHEMBL1293224	CHEMBL844	4.525	
CHEMBL2061	CHEMBL843	4.820	
CHEMBL3371	CHEMBL8412	4.780	
CHEMBL3155	CHEMBL8412	5.850	
CHEMBL224	CHEMBL8412	4.820	
CHEMBL217	CHEMBL8412	6.260	
CHEMBL214	CHEMBL8412	8.310	
CHEMBL5685	CHEMBL841	4.620	
CHEMBL4128	CHEMBL841	5.230	
CHEMBL3180	CHEMBL841	5.430	
CHEMBL234	CHEMBL841	5.710	
CHEMBL233	CHEMBL841	9.425	
CHEMBL219	CHEMBL841	5.730	
CHEMBL217	CHEMBL841	5.240	
CHEMBL1980	CHEMBL841	6.620	
CHEMBL1615381	CHEMBL841	4.160	
CHEMBL4261	CHEMBL84	7.570	
CHEMBL1781	CHEMBL84	6.189	
CHEMBL1743127	CHEMBL84	5.070	
CHEMBL1743126	CHEMBL84	5.890	
CHEMBL1743122	CHEMBL84	4.210	
CHEMBL240	CHEMBL83894	6.700	
CHEMBL224	CHEMBL83894	9.915	
CHEMBL219	CHEMBL83894	8.540	
CHEMBL1781	CHEMBL837	6.230	
CHEMBL3849	CHEMBL83668	4.300	
CHEMBL1075138	CHEMBL83668	4.700	
CHEMBL232	CHEMBL836	8.825	
CHEMBL229	CHEMBL836	9.885	
CHEMBL223	CHEMBL836	9.768	
CHEMBL4878	CHEMBL83527	5.980	
CHEMBL3959	CHEMBL83527	5.290	
CHEMBL215	CHEMBL83527	5.628	
CHEMBL1865	CHEMBL83527	6.260	
CHEMBL1293224	CHEMBL83527	4.950	
